filename;lang;lang_proba
'282.txt';'en';'[en:0.9999967353401332]'
'296.txt';'en';'[en:0.9999973243123588]'
'292.txt';'en';'[en:0.9999979692877979]'
'286.txt';'en';'[en:0.9999959787046693]'
'279.txt';'en';'[en:0.9999958749966721]'
'251.txt';'en';'[en:0.9999976781515597]'
'523.txt';'en';'[en:0.9999955880985948]'
'245.txt';'en';'[en:0.9999956179740912]'
'709.txt';'en';'[en:0.9999979698882893]'
'721.txt';'en';'[en:0.9999968711233972]'
'26.txt';'en';'[en:0.9999967767332185]'
'32.txt';'en';'[en:0.9999969627625467]'
'682.txt';'fr';'[fr:0.9999977811484577]'
'669.txt';'en';'[en:0.9999985502942847]'
'641.txt';'nl';'[nl:0.999995350642849]'
